carousel_id,prompt_id,cover_asset,cover_url,detail_asset,detail_url,texture_asset,texture_url,selection_status,notes
2026-W27-001,W27-P001,2026-W27-001_M01_candidate_A.png,,2026-W27-001_M01_candidate_C.png,,2026-W27-001_M01_candidate_B.png,,selected,cover=A score=23; motion_crop=B score=23; detail=C score=23
2026-W27-002,W27-P002,2026-W27-002_M02_v2_candidate_A.png,,2026-W27-002_M02_v2_candidate_C.png,,2026-W27-002_M02_v2_candidate_B.png,,selected,cover=A score=33; motion_crop=B score=33; detail=C score=33
2026-W27-003,W27-P003,2026-W27-003_M03_v2_candidate_A.png,,2026-W27-003_M03_v2_candidate_C.png,,2026-W27-003_M03_v2_candidate_B.png,,selected,cover=A score=35; motion_crop=B score=35; detail=C score=35
2026-W27-004,W27-P004,2026-W27-004_M04_v2_candidate_A.png,,2026-W27-004_M04_v2_candidate_C.png,,2026-W27-004_M04_v2_candidate_B.png,,selected,cover=A score=33; motion_crop=B score=33; detail=C score=33
2026-W27-005,W27-P005,2026-W27-005_M05_v2_candidate_A.png,,2026-W27-005_M05_v2_candidate_C.png,,2026-W27-005_M05_v2_candidate_B.png,,selected,cover=A score=35; motion_crop=B score=35; detail=C score=35
