file_name,canva_asset_id
2026-W29-001_M01_photoreal_pilot_candidate_A.png,MAHPglVQRKc
2026-W29-001_M01_photoreal_pilot_candidate_B.png,MAHPgmtWJSc
2026-W29-001_M01_photoreal_pilot_candidate_C.png,MAHPgk69gEE
2026-W29-001_M01_canva_A_1240x1350.png,MAHPhX4U3mc
2026-W29-001_M01_canva_B_1140x560.png,MAHPhaAC_fk
2026-W29-001_M01_canva_C_1180x1350.png,MAHPhV8ypi0
2026-W29-002_M02_canva_A_1120x1050.png,MAHPhj7uZRo
2026-W29-002_M02_canva_B_1120x410.png,MAHPhs5xc0c
2026-W29-002_M02_canva_C_1060x1010.png,MAHPhsXnEQg
2026-W29-003_M04_canva_A_1240x1350.png,MAHPiMdK8rU
2026-W29-003_M04_canva_B_1140x560.png,MAHPiLg9dHM
2026-W29-003_M04_canva_C_1180x1350.png,MAHPiHtZUcs
2026-W29-002_M02_photoreal_pilot_candidate_A.png,MAHPgumW4Mc
2026-W29-002_M02_photoreal_pilot_candidate_B.png,MAHPgjQq7iM
2026-W29-002_M02_photoreal_pilot_candidate_C.png,MAHPggyrMtk
2026-W29-003_M04_photoreal_pilot_candidate_A.png,MAHPgrlvP6s
2026-W29-003_M04_photoreal_pilot_candidate_B.png,MAHPghYdHYs
2026-W29-003_M04_photoreal_pilot_candidate_C.png,MAHPgouSJPs
2026-W29-004_M03_photoreal_pilot_candidate_A.png,MAHPguOS1E8
2026-W29-004_M03_photoreal_pilot_candidate_B.png,MAHPgjUnodg
2026-W29-004_M03_photoreal_pilot_candidate_C.png,MAHPgpyCoEI
2026-W29-005_M05_photoreal_pilot_candidate_A.png,MAHPgrtmUT0
2026-W29-005_M05_photoreal_pilot_candidate_B.png,MAHPgrNdRuc
2026-W29-005_M05_photoreal_pilot_candidate_C.png,MAHPgl74Dsw
