carousel_id,prompt_id,cover_asset,cover_url,detail_asset,detail_url,texture_asset,texture_url,selection_status,notes
2026-W35-001,W35-P001,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W35-002,W35-P005,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W35-003,W35-P009,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W35-004,W35-P013,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W35-005,W35-P017,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
