carousel_id,prompt_id,model_profile_id,candidate_file,tool,model_consistency,body_proportion_consistency,reader_relatability,outfit_clarity,ai_realism,scene_lighting_integration,outfit_continuity,expression_liveliness,pose_variation,canva_frame_fit,commerce_value,publishable,status,notes
2026-W35-001,W35-P001,M05,,Codex,,,,,,,,,,,,pending,review,
2026-W35-002,W35-P005,M01,,Codex,,,,,,,,,,,,pending,review,
2026-W35-003,W35-P009,M03,,Codex,,,,,,,,,,,,pending,review,
2026-W35-004,W35-P013,M02,,Codex,,,,,,,,,,,,pending,review,
2026-W35-005,W35-P017,M04,,Codex,,,,,,,,,,,,pending,review,
