file_name,canva_asset_id
2026-W30-001_M04_canva_A_1240x1350.png,MAHP437fLGk
2026-W30-001_M04_canva_B_1140x560.png,MAHP4xPG3ks
2026-W30-001_M04_canva_C_1180x1350.png,MAHP4wo65ng
2026-W30-002_M03_canva_A_1240x1350.png,MAHP4-L41CE
2026-W30-002_M03_canva_B_1140x560.png,MAHP46Y5t-w
2026-W30-002_M03_canva_C_1180x1350.png,MAHP44xhw0U
2026-W30-003_M01_canva_A_1160x1190.png,MAHP49-7g5E
2026-W30-003_M01_canva_B_980x430.png,MAHP47EfH6o
2026-W30-003_M01_canva_C_1080x1080.png,MAHP4xEaI1k
2026-W30-004_M05_canva_A_1240x1350.png,MAHP45eW7ZI
2026-W30-004_M05_canva_B_1140x560.png,MAHP48LwkR8
2026-W30-004_M05_canva_C_1180x1350.png,MAHP42WTrG8
2026-W30-005_M02_canva_A_1120x1050.png,MAHP4ziRhN0
2026-W30-005_M02_canva_B_1120x410.png,MAHP4xsKgkY
2026-W30-005_M02_canva_C_1060x1010.png,MAHP4y3Pw8I
