carousel_id,prompt_id,cover_asset,cover_url,detail_asset,detail_url,texture_asset,texture_url,selection_status,notes
2026-W36-001,W36-P001,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W36-002,W36-P002,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W36-003,W36-P003,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W36-004,W36-P004,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
2026-W36-005,W36-P005,,,,,,,needs_scoring,Fill codex_asset_review_template.csv after reviewing Codex outputs.
